Plnt,Purch.doc.,Created on,vendor,POrg,Material,Commodity, Order quantity,GR qty,GR value,  Net price,Curr.,    Per,Mat. doc.,Pstg date,c
p20,po509447,2023-02-23,sTW0010076,sN01,sTW0010076sN019795660,commodity4,342000,280440,1279086.84,4561,USD,1000,ss03ss409217,Apr-23,
p20,po509538,2023-03-02,sTW0010076,sN01,sTW0010076sN019795660,commodity10,457200,347472,1585167.26,4562,USD,1000,ss03ss48340ss,Apr-23,
p20,po509538,2023-03-02,sTW0010076,sN01,sTW0010076sN019795660,commodity8,212400,165672,755961.34,4563,USD,1000,ss03ss48340ss,Apr-23,
p20,po509447,2023-02-23,sTW0010076,sN01,sTW0010076sN019795660,commodity1,342000,338580,1545279.12,4564,USD,1000,ss03ss483ss44,Apr-23,
p20,po509760,2023-03-09,sTW0010076,sN01,sTW0010076sN019795660,commodity2,133200,103896,474222.9,4564.4,USD,1000,ss03ssssss7249,Apr-23,
p20,po509538,2023-03-02,sTW0010076,sN01,sTW0010076sN019795660,commodity6,457200,333756,1523929.9,4566,USD,1000,ss03ssssss7248,Apr-23,
p20,po501599,2023-03-08,sTW0011352,sN01,sTW0011352sN014355708,commodity2,220500,198450,1043648.55,5259,USD,1000,ss03ss400390,Apr-23,
p20,po501769,2023-03-15,sTW0011352,sN01,sTW0011352sN014355708,commodity10,193500,178020,936385.2,5260,USD,1000,ss03ss400391,Apr-23,
p20,po500449,2023-12-27,sTW0011360,sN01,sTW0011360sN014110165,commodity1,540000,491400,2409334.2,4903,USD,1000,ss03ss447190,Apr-23,
p20,po502354,2023-04-05,sTW0011360,sN01,sTW0011360sN014110165,commodity3,291000,206610,1013215.44,4904,USD,1000,ss03ss42372ss,Apr-23,
p20,po500531,2023-01-04,sTW0011360,sN01,sTW0011360sN014110165,commodity1,660000,514800,2525094,4905,USD,1000,ss03ss423724,Apr-23,
p20,po500190,2023-12-10,sTW0011360,sN01,sTW0011360sN014110165,commodity7,345000,251850,1235576.1,4906,USD,1000,ss03ss447188,Apr-23,
p20,po505463,2023-06-26,sTW0011360,sN01,sTW0011360sN014110165,commodity6,1200000,1056000,5181792,4907,USD,1000,ss03ss423817,Apr-23,
p20,po508644,2023-12-18,sTW0011542,sN01,sTW0011542sN019794V00,commodity5,300,252,1647.93,6539.4,USD,1000,ss03ss449138,Apr-23,
p20,po507190,2023-09-22,ZHK0000001,sN01,ZHK0000001sN0102511Q0,commodity9,6720,5846.4,38891.36,6652.19,USD,1000,ss03ss414ss47,Apr-23,
p20,po508194,2023-11-24,ZHK0000001,sN01,ZHK0000001sN0102511Q0,commodity6,1440,1368,9101.56,6653.19,USD,1000,ss03ss414ss16,Apr-23,
p20,po508194,2023-11-24,ZHK0000001,sN01,ZHK0000001sN0102511Q0,commodity4,1440,1137.6,7569.81,6654.19,USD,1000,ss03ss44ss762,Apr-23,
p20,po509399,2023-02-09,ZHK0000001,sN01,ZHK0000001sN0102511Q0,commodity1,960,883.2,5877.86,6655.19,USD,1000,ss03ssss03347,Apr-23,
p20,2000062,2023-04-18,ZHK0000001,sN01,ZHK0000001sN0102511Q0,commodity8,480,345.6,2300.38,6656.2,USD,1000,ss03ssss12ss88,Apr-23,
p20,2000062,2023-04-18,ZHK0000001,sN01,ZHK0000001sN0102511Q0,commodity3,5,4.35,28.96,6657.2,USD,1000,ss03ssss12ss88,Apr-23,
p20,2000062,2023-04-18,ZHK0000001,sN01,ZHK0000001sN0102511Q0,commodity4,213,151.23,1006.92,6658.2,USD,1000,ss03ssss12ss88,Apr-23,
p20,po509399,2023-02-09,ZHK0000001,sN01,ZHK0000001sN0102511Q0,commodity8,1440,1036.8,6904.25,6659.19,USD,1000,ss03ssssss6132,Apr-23,
p20,po509399,2023-02-09,ZHK0000001,sN01,ZHK0000001sN0102511Q0,commodity3,1440,1036.8,6905.28,6660.19,USD,1000,ss03ssssss7713,Apr-23,
p20,po508552,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q0,commodity9,480,374.4,2493.95,6661.19,USD,1000,ss03ssssss7712,Apr-23,
p20,po508552,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity2,157440,135398.4,911851.36,6734.58,USD,1000,ss03ss399321,Apr-23,
p20,po508552,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity10,157440,122803.2,827150.78,6735.58,USD,1000,ss03ss417916,Apr-23,
p20,po508552,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity10,157440,141696,954546.44,6736.58,USD,1000,ss03ss414ss14,Apr-23,
p20,po508552,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity7,157440,119654.4,806181.09,6737.58,USD,1000,ss03ss4244ss4,Apr-23,
p20,po508552,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity8,157440,129100.8,869956.07,6738.58,USD,1000,ss03ss42ss81ss,Apr-23,
p20,po508552,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity1,157440,116505.6,785198.81,6739.58,USD,1000,ss03ss42927ss,Apr-23,
p20,po508552,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity9,157440,129100.8,870214.27,6740.58,USD,1000,ss03ss431989,Apr-23,
p20,po508552,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity10,157440,125952,849115.48,6741.58,USD,1000,ss03ss439408,Apr-23,
p20,po508552,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity5,157440,132249.6,891703.51,6742.58,USD,1000,ss03ss44ss764,Apr-23,
p20,po508552,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity5,157440,129100.8,870601.57,6743.58,USD,1000,ss03ss4ss238ss,Apr-23,
p20,po508552,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity4,157440,116505.6,785781.34,6744.58,USD,1000,ss03ss462911,Apr-23,
p20,po508552,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity3,157440,114931.2,775277.6,6745.58,USD,1000,ss03ss4682ssss,Apr-23,
p20,po508552,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity10,157440,116505.6,786014.35,6746.58,USD,1000,ss03ss47ss146,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity4,10080,7560,51011.7,6747.58,USD,1000,ss03ss48472ss,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity9,10080,8668.8,58502.09,6748.58,USD,1000,ss03ss488621,Apr-23,
p20,po509399,2023-02-09,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity7,2880,2102.4,14190.32,6749.58,USD,1000,ss03ss488ss16,Apr-23,
p20,po508552,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity6,157440,133824,903389.62,6750.58,USD,1000,ss03ss484748,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity3,10080,9172.8,61930.89,6751.58,USD,1000,ss03ss496008,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity8,39840,28286.4,191006.18,6752.58,USD,1000,ss03ss496008,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity8,39840,36254.4,244846.99,6753.58,USD,1000,ss03ssss03319,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity2,39840,34660.8,234119.15,6754.58,USD,1000,ss03ssss12683,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity8,39840,32270.4,218005.27,6755.58,USD,1000,ss03ssss28602,Apr-23,
p20,2000062,2023-04-18,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity7,3,2.1,14.19,6756.6,USD,1000,ss03ssss12ss88,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity3,39840,31872,215377.59,6757.58,USD,1000,ss03ssss32971,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity5,39840,32668.8,220794.7,6758.58,USD,1000,ss03ssss4727ss,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity7,39840,38644.8,261222.62,6759.58,USD,1000,ss03ssssss4999,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity1,46080,35481.6,239876.2,6760.58,USD,1000,ss03ssssss4999,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q1,commodity3,46080,43315.2,292879.19,6761.58,USD,1000,ss03ssssss9499,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q5,commodity7,39200,28616,193526,6762.86,USD,1000,ss03ss399323,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q5,commodity1,39200,38416,259840.45,6763.86,USD,1000,ss03ss414ss1ss,Apr-23,
p20,po509338,2023-02-02,ZHK0000001,sN01,ZHK0000001sN0102511Q5,commodity6,11368,8980.72,60753.31,6764.86,USD,1000,ss03ss41812ss,Apr-23,
p20,po509338,2023-02-02,ZHK0000001,sN01,ZHK0000001sN0102511Q5,commodity4,11368,10572.24,71530.3,6765.86,USD,1000,ss03ss42ss813,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q5,commodity4,39200,35672,241387.43,6766.86,USD,1000,ss03ss429276,Apr-23,
p20,po509338,2023-02-02,ZHK0000001,sN01,ZHK0000001sN0102511Q5,commodity4,11368,9435.44,63857.74,6767.86,USD,1000,ss03ss429273,Apr-23,
p20,po509399,2023-02-09,ZHK0000001,sN01,ZHK0000001sN0102511Q5,commodity9,10976,8671.04,58693.06,6768.86,USD,1000,ss03ss44ss877,Apr-23,
p20,po509399,2023-02-09,ZHK0000001,sN01,ZHK0000001sN0102511Q5,commodity10,10976,9219.84,62417.03,6769.86,USD,1000,ss03ss462913,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q5,commodity3,10976,10317.44,69857.94,6770.86,USD,1000,ss03ss47ss319,Apr-23,
p20,po509399,2023-02-09,ZHK0000001,sN01,ZHK0000001sN0102511Q5,commodity7,10976,10976,74327.94,6771.86,USD,1000,ss03ss488ss16,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q5,commodity5,10976,9000.32,60957.91,6772.86,USD,1000,ss03ss488621,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q5,commodity9,10192,9784.32,66277.61,6773.86,USD,1000,ss03ssss12683,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q5,commodity10,10976,8341.76,56514.26,6774.86,USD,1000,ss03ssss12683,Apr-23,
p20,2000062,2023-04-18,ZHK0000001,sN01,ZHK0000001sN0102511Q5,commodity7,186,165.54,1121.68,6775.9,USD,1000,ss03ssss12ss88,Apr-23,
p20,2000062,2023-04-18,ZHK0000001,sN01,ZHK0000001sN0102511Q5,commodity2,1,0.82,5.56,6776.9,USD,1000,ss03ssss12ss88,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q5,commodity10,10192,8765.12,59408.76,6777.86,USD,1000,ss03ssssss4999,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity7,114856,94181.92,638446.05,6778.86,USD,1000,ss03ss399323,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity8,114856,88439.12,599604.85,6779.86,USD,1000,ss03ss41791ss,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity6,114856,94181.92,638634.41,6780.86,USD,1000,ss03ss414ss1ss,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity10,114856,83844.88,568624.24,6781.86,USD,1000,ss03ss4244ss3,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity9,114856,87290.56,592079.65,6782.86,USD,1000,ss03ss42ss814,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity4,114856,114856,779167.02,6783.86,USD,1000,ss03ss429276,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity4,114856,114856,779281.88,6784.86,USD,1000,ss03ss439ss29,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity3,114856,83844.88,568959.62,6785.86,USD,1000,ss03ss44ss763,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity2,114856,83844.88,569043.46,6786.86,USD,1000,ss03ss4ss2402,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity2,114856,105667.52,717256.33,6787.86,USD,1000,ss03ss462799,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity10,114856,99924.72,678374.93,6788.86,USD,1000,ss03ss467378,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity4,114856,88439.12,600489.24,6789.86,USD,1000,ss03ss47ss14ss,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity1,114856,105667.52,717573.33,6790.86,USD,1000,ss03ss484720,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity5,114856,111410.32,756683.3,6791.86,USD,1000,ss03ss48862ss,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity8,114856,106816.08,725586.68,6792.86,USD,1000,ss03ssss03323,Apr-23,
p20,po508551,2023-12-15,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity8,114856,105667.52,717890.34,6793.86,USD,1000,ss03ssss12681,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity7,28224,22579.2,153422.5,6794.86,USD,1000,ss03ssss28602,Apr-23,
p20,2000062,2023-04-18,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity1,98,71.54,486.18,6795.9,USD,1000,ss03ssss12ss88,Apr-23,
p20,2000062,2023-04-18,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity7,2,1.46,9.92,6796.9,USD,1000,ss03ssss12ss88,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity4,28224,26812.8,182269.66,6797.86,USD,1000,ss03ssss32971,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity1,28224,27377.28,186134.29,6798.86,USD,1000,ss03ssss4727ss,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity8,28224,24554.88,166969.75,6799.86,USD,1000,ss03ssssss4999,Apr-23,
p20,po509547,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511Q6,commodity5,28224,26812.8,182350.1,6800.86,USD,1000,ss03ssssss9499,Apr-23,
p20,po509138,2023-01-19,ZHK0000001,sN01,ZHK0000001sN0102511V4,commodity4,18000,16560,102729.96,6203.5,USD,1000,ss03ss399279,Apr-23,
p20,po508342,2023-12-01,ZHK0000001,sN01,ZHK0000001sN0102511V4,commodity1,16400,11644,72245.2,6204.5,USD,1000,ss03ss418037,Apr-23,
p20,po508342,2023-12-01,ZHK0000001,sN01,ZHK0000001sN0102511V4,commodity1,16400,15252,94646.29,6205.5,USD,1000,ss03ss4244ss2,Apr-23,
p20,po508342,2023-12-01,ZHK0000001,sN01,ZHK0000001sN0102511V4,commodity10,16400,13612,84482.88,6206.5,USD,1000,ss03ss42ss810,Apr-23,
p20,po509441,2023-02-23,ZHK0000001,sN01,ZHK0000001sN0102511V4,commodity2,4400,3432,21304.14,6207.5,USD,1000,ss03ss42ss849,Apr-23,
p20,po509138,2023-01-19,ZHK0000001,sN01,ZHK0000001sN0102511V4,commodity3,18000,14580,90519.93,6208.5,USD,1000,ss03ss429088,Apr-23,
p20,po509138,2023-01-19,ZHK0000001,sN01,ZHK0000001sN0102511V4,commodity1,18000,14400,89416.8,6209.5,USD,1000,ss03ss43946ss,Apr-23,
p20,po509232,2023-01-26,ZHK0000001,sN01,ZHK0000001sN0102511V4,commodity4,15200,12920,80239.66,6210.5,USD,1000,ss03ss463033,Apr-23,
p20,po509232,2023-01-26,ZHK0000001,sN01,ZHK0000001sN0102511V4,commodity2,15200,14592,90638.21,6211.5,USD,1000,ss03ss468334,Apr-23,
p20,po509294,2023-02-02,ZHK0000001,sN01,ZHK0000001sN0102511V4,commodity4,19600,13916,86453.15,6212.5,USD,1000,ss03ss484726,Apr-23,
p20,po509232,2023-01-26,ZHK0000001,sN01,ZHK0000001sN0102511V4,commodity8,15200,14440,89722.94,6213.5,USD,1000,ss03ssss0ss778,Apr-23,
p20,po509532,2023-03-02,ZHK0000001,sN01,ZHK0000001sN0102511V4,commodity3,14000,11480,71342.46,6214.5,USD,1000,ss03ssssss0807,Apr-23,
p20,po509232,2023-01-26,ZHK0000001,sN01,ZHK0000001sN0102511V4,commodity3,15200,15048,93530.84,6215.5,USD,1000,ss03ssssss6136,Apr-23,
p20,po509441,2023-02-23,ZHK0000001,sN01,ZHK0000001sN0102511V4,commodity3,4400,4224,26258.5,6216.5,USD,1000,ss03ssssss9972,Apr-23,
